#sampleName	clientId
Fungus_CR017-001M0001	ant1
Fungus_CR017-001M0002	ant2
Fungus_CR017-001M0003	ant3
Fungus_CR017-001M0004	ant4
Fungus_CR017-001M0005	ant5
Fungus_CR017-001M0006	ant6
Fungus_CR017-001M0007	ant7
Fungus_CR017-001M0008	ant8
Fungus_CR017-001M0009	ant9
Fungus_CR017-001M0010	ant10
Fungus_CR017-001M0011	ant11
Fungus_CR017-001M0012	ant12
Fungus_CR017-001M0013	ant13
Fungus_CR017-001M0014	ant14
Fungus_CR017-001M0015	ant15
Fungus_CR017-001M0016	ant16
Fungus_CR017-001M0017	ant17
Fungus_CR017-001M0018	ant18
Fungus_CR017-001M0019	ant19
Fungus_CR017-001M0020	ant20
Fungus_CR017-001M0021	ant21
Fungus_CR017-001M0022	guz1
Fungus_CR017-001M0023	guz2
Fungus_CR017-001M0024	guz3
Fungus_CR017-001M0025	guz4
Fungus_CR017-001M0026	guz5
Fungus_CR017-001M0027	guz6
Fungus_CR017-001M0028	guz7
Fungus_CR017-001M0029	guz8
Fungus_CR017-001M0030	guz9
Fungus_CR017-001M0031	till1
Fungus_CR017-001M0032	till2
Fungus_CR017-001M0033	till3
Fungus_CR017-001M0034	till4
Fungus_CR017-001M0035	till5
Fungus_CR017-001M0036	till6
Fungus_CR017-001M0037	elle1
Fungus_CR017-001M0038	elle2
Fungus_CR017-001M0039	elle3
Fungus_CR017-001M0040	elle4
Fungus_CR017-001M0041	elle5
Fungus_CR017-001M0042	elle6
Fungus_CR017-001M0043	masd1
Fungus_CR017-001M0044	masd2
Fungus_CR017-001M0045	masd3
Fungus_CR017-001M0046	max1
Fungus_CR017-001M0047	max2
Fungus_CR017-001M0048	max3
Fungus_CR017-001M0049	max4
Fungus_CR017-001M0050	max5
Fungus_CR017-001M0051	max6
Fungus_CR017-001M0052	max7
Fungus_CR017-001M0053	max8
Fungus_CR017-001M0054	max9
Fungus_CR017-001M0055	pep1
Fungus_CR017-001M0056	pep2
Fungus_CR017-001M0057	pep3
Fungus_CR017-001M0058	pep4
Fungus_CR017-001M0059	pep5
Fungus_CR017-001M0060	pep6
Fungus_CR017-001M0061	pep7
Fungus_CR017-001M0062	pep8
Fungus_CR017-001M0063	pep9
Fungus_CR017-001M0064	pep10
Fungus_CR017-001M0065	pep11
Fungus_CR017-001M0066	pep12
Fungus_CR017-001M0067	pep13
Fungus_CR017-001M0068	pep14
Fungus_CR017-001M0069	pep15
Fungus_CR017-001M0070	pep16
Fungus_CR017-001M0071	pep17
Fungus_CR017-001M0072	pep18
Fungus_CR017-001M0073	pleu1
Fungus_CR017-001M0074	pleu2
Fungus_CR017-001M0075	pleu3
Fungus_CR017-001M0076	pleu4
Fungus_CR017-001M0077	pleu5
Fungus_CR017-001M0078	pleu6
Fungus_CR017-001M0079	stel1
Fungus_CR017-001M0080	stel2
Fungus_CR017-001M0081	stel3
Fungus_CR017-001M0082	stel4
Fungus_CR017-001M0083	stel5
Fungus_CR017-001M0084	stel6
Fungus_CR017-001M0085	ctrl
